Code,Description,SortOrder
999999,Total people - age group,1
888,Median age,2
1,Under 15 years,3
2,15-29 years,4
3,30-64 years,5
4,65 years and over,6
01,0-4 years,7
02,5-9 years,8
03,10-14 years,9
04,15-19 years,11
05,20-24 years,11
06,25-29 years,12
07,30-34 years,13
08,35-39 years,14
09,40-44 years,15
10,45-49 years,16
11,50-54 years,17
12,55-59 years,18
13,60-64 years,19
14,65-69 years,20
15,70-74 years,21
16,75-79 years,22
17,80-84 years,23
18,85-89 years,24
19,90-94 years,25
20,95-99 years,26
21,100 years and over,27
000,Less than one year,28
001,One year,29
002,Two years,30
003,Three years,31
004,Four years,32
005,Five years,33
006,Six years,34
007,Seven years,35
008,Eight years,36
009,Nine years,37
010,10 years,38
011,11 years,39
012,12 years,40
013,13 years,41
014,14 years,42
015,15 years,43
016,16 years,44
017,17 years,45
018,18 years,46
019,19 years,47
020,20 years,48
021,21 years,49
022,22 years,50
023,23 years,51
024,24 years,52
025,25 years,53
026,26 years,54
027,27 years,55
028,28 years,56
029,29 years,57
030,30 years,58
031,31 years,59
032,32 years,60
033,33 years,61
034,34 years,62
035,35 years,63
036,36 years,64
037,37 years,65
038,38 years,66
039,39 years,67
040,40 years,68
041,41 years,69
042,42 years,70
043,43 years,71
044,44 years,72
045,45 years,73
046,46 years,74
047,47 years,75
048,48 years,76
049,49 years,77
050,50 years,78
051,51 years,79
052,52 years,80
053,53 years,81
054,54 years,82
055,55 years,83
056,56 years,84
057,57 years,85
058,58 years,86
059,59 years,87
060,60 years,88
061,61 years,89
062,62 years,90
063,63 years,91
064,64 years,92
065,65 years,93
066,66 years,94
067,67 years,95
068,68 years,96
069,69 years,97
070,70 years,98
071,71 years,99
072,72 years,100
073,73 years,101
074,74 years,102
075,75 years,103
076,76 years,104
077,77 years,105
078,78 years,106
079,79 years,107
080,80 years,108
081,81 years,109
082,82 years,110
083,83 years,111
084,84 years,112
085,85 years,113
086,86 years,114
087,87 years,115
088,88 years,116
089,89 years,117
090,90 years,118
091,91 years,119
092,92 years,120
093,93 years,121
094,94 years,122
095,95 years,123
096,96 years,124
097,97 years,125
098,98 years,126
099,99 years,127
100,100 years,128
101,101 years,129
102,102 years,130
103,103 years,131
104,104 years,132
105,105 years,133
106,106 years,134
107,107 years,135
108,108 years,136
109,109 years,137
110,110 years,138
111,111 years,139
112,112 years,140
113,113 years,141
114,114 years,142
115,115 years,143
116,116 years,144
117,117 years,145
118,118 years,146
119,119 years,147
120,120 years and over,148
